LABEL=produce,SRC_LABEL=person,DST_LABEL=movie
id:INT32:SRC_ID,id:INT32:DST_ID
13,130
14,130
15,1
15,28
15,68
106,82
108,2498
109,82
145,130
490,3915
491,496
491,3915
549,737
549,532
549,564
607,598
609,598
616,615
664,641
664,698
664,797
665,641
665,698
665,797
665,3390
666,641
666,698
666,797
666,3390
683,1693
725,710
725,805
728,710
728,805
764,750
776,2498
791,2885
793,781
1119,1118
1253,1241
1295,1356
1297,1293
1298,1293
1365,1356
1371,2232
1557,1550
1705,1693
1767,1768
2021,2008
2068,2055
2074,2055
2075,2055
2243,2232
2244,2232
2779,2767
2895,2885
3113,3106
3392,3390
3464,3459
3689,3680
